01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V51;Vwz_V51;Bel_V82;Vwz_V82;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4_Stoer;Vwz_VK4_Stoer
04.06.2020 05:00;7;55200;8;69000;9;58800;1;600;0;0;0;0;1;600;2;1200;4;3000;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 06:00;24;492600;22;721200;31;460800;0;0;1;600;1;600;1;600;0;0;4;3000;1;600;6;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 07:00;58;1127400;68;1286400;61;837000;6;8400;0;0;0;0;2;1200;10;9600;18;13200;1;600;13;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 08:00;69;1655400;78;1491600;63;750000;1;600;4;2400;1;600;0;0;7;8400;15;13200;1;600;14;11400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 09:00;75;1291200;80;1470000;37;574200;7;10800;0;0;4;2400;3;2400;4;2400;11;7200;5;3600;16;13200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 10:00;60;1159800;94;1523400;36;322800;14;22200;4;6000;0;0;9;11400;19;16200;18;13800;0;0;19;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 11:00;92;1147800;130;1557600;57;666000;2;1800;4;3000;2;1800;3;1800;2;1200;21;16800;5;3600;21;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 12:00;111;1749000;269;2188200;46;435600;8;7800;1;600;0;0;5;3600;7;5400;12;9000;2;1200;18;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 13:00;103;1465800;121;1802400;63;528600;3;2400;2;1200;1;600;2;1200;6;5400;14;12000;1;600;15;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 14:00;113;1615200;144;2002200;77;865200;1;600;3;4200;0;0;1;2400;6;4800;15;10200;3;2400;15;13200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 15:00;116;1698600;153;2068200;73;780000;5;6000;3;2400;1;3600;6;4800;15;13200;23;17400;1;600;25;19800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 16:00;125;2286600;156;2357400;68;1027800;5;3600;3;3000;0;0;8;6000;6;4800;23;20400;1;600;15;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
